epoch,accuracy,weight1,weight2,bias
1,0.5500,15.352693,7.952741,1.727762
2,0.5500,29.952694,15.122741,4.227762
3,0.5500,44.552689,22.292740,6.727763
4,0.5500,59.152683,29.462740,9.227763
5,0.5500,73.752686,36.632740,11.727764
6,0.5500,88.352692,43.802742,14.227765
7,0.5500,102.952698,50.972744,16.727766
8,0.5500,117.552704,58.142746,19.227762
9,0.5500,132.152710,65.312752,21.727758
10,0.5500,146.752701,72.482750,24.227755
11,0.5500,161.352692,79.652748,26.727751
12,0.5500,175.952682,86.822746,29.227747
13,0.5500,190.552673,93.992744,31.727743
14,0.5500,205.152664,101.162743,34.227741
15,0.5500,219.752655,108.332741,36.727737
16,0.5500,234.352646,115.502739,39.227734
17,0.5500,248.952637,122.672737,41.727730
18,0.5500,263.552612,129.842728,44.227726
19,0.5500,278.152588,137.012711,46.727722
20,0.5500,292.752563,144.182693,49.227718
21,0.5500,307.352539,151.352676,51.727715
22,0.5500,321.952515,158.522659,54.227711
23,0.5500,336.552490,165.692642,56.727707
24,0.5500,351.152466,172.862625,59.227703
25,0.5500,365.752441,180.032608,61.727699
26,0.5500,380.352417,187.202591,64.227699
27,0.5500,394.952393,194.372574,66.727715
28,0.5500,409.552368,201.542557,69.227730
29,0.5500,424.152344,208.712540,71.727745
30,0.5500,438.752319,215.882523,74.227760
31,0.5500,453.352295,223.052505,76.727776
32,0.5500,467.952271,230.222488,79.227791
33,0.5500,482.552246,237.392471,81.727806
34,0.5500,497.152222,244.562454,84.227821
35,0.5500,511.752197,251.732437,86.727837
36,0.5500,526.352234,258.902405,89.227852
37,0.5500,540.952271,266.072357,91.727867
38,0.5500,555.552307,273.242310,94.227882
39,0.5500,570.152344,280.412262,96.727898
40,0.5500,584.752380,287.582214,99.227913
41,0.5500,599.352417,294.752167,101.727928
42,0.5500,613.952454,301.922119,104.227943
43,0.5500,628.552490,309.092072,106.727959
44,0.5500,643.152527,316.262024,109.227974
45,0.5500,657.752563,323.431976,111.727989
46,0.5500,672.352600,330.601929,114.228004
47,0.5500,686.952637,337.771881,116.728020
48,0.5500,701.552673,344.941833,119.228035
49,0.5500,716.152710,352.111786,121.728050
50,0.5500,730.752747,359.281738,124.228065
51,0.5500,745.352783,366.451691,126.728081
52,0.5500,759.952820,373.621643,129.228088
53,0.5500,774.552856,380.791595,131.728104
54,0.5500,789.152893,387.961548,134.228119
55,0.5500,803.752930,395.131500,136.728134
56,0.5500,818.352966,402.301453,139.228149
57,0.5500,832.953003,409.471405,141.728165
58,0.5500,847.553040,416.641357,144.228180
59,0.5500,862.153076,423.811310,146.728195
60,0.5500,876.753113,430.981262,149.228210
61,0.5500,891.353149,438.151215,151.728226
62,0.5500,905.953186,445.321167,154.228241
63,0.5500,920.553223,452.491119,156.728256
64,0.5500,935.153259,459.661072,159.228271
65,0.5500,949.753296,466.831024,161.728287
66,0.5500,964.353333,474.000977,164.228302
67,0.5500,978.953369,481.170929,166.728317
68,0.5500,993.553406,488.340881,169.228333
69,0.5500,1008.153442,495.510834,171.728348
70,0.5500,1022.753479,502.680786,174.228363
71,0.5500,1037.353638,509.850739,176.728378
72,0.5500,1051.953735,517.020813,179.228394
73,0.5500,1066.553833,524.190918,181.728409
74,0.5500,1081.153931,531.361023,184.228424
75,0.5500,1095.754028,538.531128,186.728439
76,0.5500,1110.354126,545.701233,189.228455
77,0.5500,1124.954224,552.871338,191.728470
78,0.5500,1139.554321,560.041443,194.228485
79,0.5500,1154.154419,567.211548,196.728500
80,0.5500,1168.754517,574.381653,199.228516
81,0.5500,1183.354614,581.551758,201.728531
82,0.5500,1197.954712,588.721863,204.228546
83,0.5500,1212.554810,595.891968,206.728561
84,0.5500,1227.154907,603.062073,209.228577
85,0.5500,1241.755005,610.232178,211.728592
86,0.5500,1256.355103,617.402283,214.228607
87,0.5500,1270.955200,624.572388,216.728622
88,0.5500,1285.555298,631.742493,219.228638
89,0.5500,1300.155396,638.912598,221.728653
90,0.5500,1314.755493,646.082703,224.228668
91,0.5500,1329.355591,653.252808,226.728683
92,0.5500,1343.955688,660.422913,229.228699
93,0.5500,1358.555786,667.593018,231.728714
94,0.5500,1373.155884,674.763123,234.228729
95,0.5500,1387.755981,681.933228,236.728745
96,0.5500,1402.356079,689.103333,239.228760
97,0.5500,1416.956177,696.273438,241.728775
98,0.5500,1431.556274,703.443542,244.228790
99,0.5500,1446.156372,710.613647,246.728806
100,0.5500,1460.756470,717.783752,249.228821
