epoch,accuracy,bias,w1,w2,w3,w4
1,0.5250,3.0000,13.0988,6.3382,10.5579,3.5926
2,0.5250,4.9000,25.8038,12.0132,21.2279,7.4526
3,0.5250,6.8000,38.5088,17.6882,31.8979,11.3126
4,0.5250,8.7000,51.2138,23.3632,42.5679,15.1726
5,0.5250,10.6000,63.9188,29.0382,53.2379,19.0326
6,0.5250,12.5000,76.6238,34.7132,63.9079,22.8926
7,0.5250,14.4000,89.3288,40.3882,74.5779,26.7526
8,0.5250,16.3000,102.0338,46.0632,85.2479,30.6126
9,0.5250,18.2000,114.7388,51.7382,95.9179,34.4726
10,0.5250,20.1000,127.4438,57.4132,106.5880,38.3326
11,0.5250,22.0000,140.1488,63.0882,117.2580,42.1926
12,0.5250,23.8999,152.8538,68.7632,127.9280,46.0526
13,0.5250,25.7999,165.5588,74.4383,138.5980,49.9126
14,0.5250,27.6999,178.2638,80.1133,149.2680,53.7727
15,0.5250,29.5998,190.9689,85.7883,159.9380,57.6327
16,0.5250,31.4998,203.6739,91.4633,170.6080,61.4927
17,0.5250,33.3998,216.3789,97.1384,181.2780,65.3527
18,0.5250,35.2997,229.0839,102.8134,191.9480,69.2126
19,0.5250,37.1997,241.7889,108.4884,202.6180,73.0726
20,0.5250,39.0997,254.4939,114.1634,213.2879,76.9326
21,0.5250,40.9997,267.1989,119.8385,223.9579,80.7925
22,0.5250,42.8996,279.9039,125.5135,234.6279,84.6525
23,0.5250,44.7996,292.6089,131.1884,245.2979,88.5125
24,0.5250,46.6996,305.3139,136.8634,255.9679,92.3724
25,0.5250,48.5995,318.0189,142.5383,266.6379,96.2324
26,0.5250,50.4995,330.7238,148.2132,277.3079,100.0923
27,0.5250,52.3995,343.4288,153.8882,287.9779,103.9523
28,0.5250,54.2995,356.1338,159.5631,298.6479,107.8123
29,0.5250,56.1994,368.8388,165.2380,309.3179,111.6722
30,0.5250,58.0994,381.5438,170.9129,319.9879,115.5322
31,0.5250,59.9994,394.2488,176.5879,330.6578,119.3922
32,0.5250,61.8993,406.9538,182.2628,341.3278,123.2521
33,0.5250,63.7993,419.6588,187.9377,351.9978,127.1121
34,0.5250,65.6994,432.3637,193.6126,362.6678,130.9721
35,0.5250,67.5995,445.0687,199.2876,373.3378,134.8321
36,0.5250,69.4996,457.7737,204.9625,384.0078,138.6921
37,0.5250,71.3998,470.4787,210.6374,394.6777,142.5521
38,0.5250,73.2999,483.1837,216.3123,405.3477,146.4121
39,0.5250,75.2000,495.8887,221.9873,416.0177,150.2721
40,0.5250,77.1001,508.5937,227.6622,426.6877,154.1321
41,0.5250,79.0002,521.2987,233.3371,437.3577,157.9921
42,0.5250,80.9003,534.0038,239.0121,448.0276,161.8521
43,0.5250,82.8005,546.7089,244.6870,458.6976,165.7121
44,0.5250,84.7006,559.4139,250.3619,469.3676,169.5721
45,0.5250,86.6007,572.1190,256.0368,480.0376,173.4321
46,0.5250,88.5008,584.8241,261.7119,490.7076,177.2921
47,0.5250,90.4009,597.5292,267.3869,501.3776,181.1521
48,0.5250,92.3010,610.2343,273.0620,512.0475,185.0121
49,0.5250,94.2011,622.9393,278.7370,522.7176,188.8721
50,0.5250,96.1013,635.6444,284.4121,533.3876,192.7321
51,0.5250,98.0014,648.3495,290.0871,544.0577,196.5921
52,0.5250,99.9015,661.0546,295.7622,554.7277,200.4521
53,0.5250,101.8016,673.7596,301.4372,565.3978,204.3121
54,0.5250,103.7017,686.4647,307.1123,576.0678,208.1721
55,0.5250,105.6018,699.1698,312.7873,586.7379,212.0321
56,0.5250,107.5020,711.8749,318.4624,597.4079,215.8921
57,0.5250,109.4021,724.5800,324.1374,608.0779,219.7521
58,0.5250,111.3022,737.2850,329.8125,618.7480,223.6121
59,0.5250,113.2023,749.9901,335.4875,629.4180,227.4721
60,0.5250,115.1024,762.6952,341.1626,640.0881,231.3321
61,0.5250,117.0025,775.4003,346.8376,650.7581,235.1921
62,0.5250,118.9027,788.1053,352.5127,661.4282,239.0521
63,0.5250,120.8028,800.8104,358.1877,672.0982,242.9121
